1, emp101, Dennis, McClintock, Architect, ONBOARD, 12-08-2020, 16-05-2024, "Dennis McClintock is going to join DataOrb on 12-08-2020 as a Architect."
2, emp101, SALARY, 3716, 06-07-2023, "Salary for month 07"
3, emp101, SALARY, 2991, 13-11-2023, "Salary for month 11"
4, emp101, BONUS, 1647, 13-08-2024, "Performance bonus for 2024"
5, emp102, Dennis, Lovelace, Manager, ONBOARD, 08-09-2021, 01-11-2024, "Dennis Lovelace is going to join DataOrb on 08-09-2021 as a Manager."
6, emp102, SALARY, 2786, 12-04-2022, "Salary for month 04"
7, emp102, SALARY, 4410, 16-10-2023, "Salary for month 10"
8, emp102, BONUS, 1280, 03-01-2024, "Performance bonus for 2024"
9, emp103, Ada, Lovelace, Software Engineer, ONBOARD, 20-08-2021, 19-05-2024, "Ada Lovelace is going to join DataOrb on 20-08-2021 as a Software Engineer."
10, emp103, SALARY, 2750, 30-06-2022, "Salary for month 06"
11, emp103, SALARY, 4817, 17-11-2022, "Salary for month 11"
12, emp103, BONUS, 1818, 29-06-2024, "Performance bonus for 2024"
13, emp104, Alan, Hopper, Manager, ONBOARD, 09-03-2022, 07-01-2024, "Alan Hopper is going to join DataOrb on 09-03-2022 as a Manager."
14, emp104, SALARY, 3817, 17-09-2024, "Salary for month 09"
15, emp104, SALARY, 2844, 08-02-2024, "Salary for month 02"
16, emp104, SALARY, 2963, 17-02-2022, "Salary for month 02"
17, emp104, SALARY, 3341, 23-06-2022, "Salary for month 06"
18, emp104, BONUS, 939, 24-03-2022, "Performance bonus for 2022"
19, emp104, REIMBURSEMENT, 720, 04-08-2022, "Travel reimbursement"
20, emp104, EXIT, 19-10-2022, 03-01-2022, "Leaving for personal reasons"
21, emp105, Bill, McClintock, Architect, ONBOARD, 06-01-2020, 15-04-2023, "Bill McClintock is going to join DataOrb on 06-01-2020 as a Architect."
22, emp105, SALARY, 2087, 28-09-2022, "Salary for month 09"
23, emp105, SALARY, 3419, 08-07-2023, "Salary for month 07"
24, emp105, SALARY, 2489, 21-08-2022, "Salary for month 08"
25, emp105, BONUS, 1699, 02-06-2022, "Performance bonus for 2022"
26, emp105, EXIT, 19-12-2024, 06-05-2023, "Leaving for personal reasons"
27, emp106, Bill, Torvalds, Software Engineer, ONBOARD, 28-12-2020, 26-02-2024, "Bill Torvalds is going to join DataOrb on 28-12-2020 as a Software Engineer."
28, emp106, SALARY, 3657, 20-04-2022, "Salary for month 04"
29, emp106, SALARY, 3340, 08-02-2023, "Salary for month 02"
30, emp106, SALARY, 4675, 02-09-2022, "Salary for month 09"
31, emp106, SALARY, 4067, 07-03-2022, "Salary for month 03"
32, emp106, SALARY, 4788, 14-09-2022, "Salary for month 09"
33, emp106, REIMBURSEMENT, 362, 23-08-2023, "Travel reimbursement"
34, emp106, EXIT, 26-05-2022, 22-06-2022, "Leaving for personal reasons"
35, emp107, Grace, Jobs, Architect, ONBOARD, 15-03-2022, 03-12-2022, "Grace Jobs is going to join DataOrb on 15-03-2022 as a Architect."
36, emp107, SALARY, 3494, 13-11-2022, "Salary for month 11"
37, emp107, SALARY, 3260, 02-04-2024, "Salary for month 04"
38, emp107, SALARY, 2104, 02-03-2022, "Salary for month 03"
39, emp107, BONUS, 522, 25-03-2023, "Performance bonus for 2023"
40, emp108, Bill, Turing, Software Engineer, ONBOARD, 26-01-2022, 03-09-2024, "Bill Turing is going to join DataOrb on 26-01-2022 as a Software Engineer."
41, emp108, SALARY, 3321, 09-12-2024, "Salary for month 12"
42, emp108, SALARY, 3493, 23-06-2024, "Salary for month 06"
43, emp108, SALARY, 3233, 13-09-2023, "Salary for month 09"
44, emp108, BONUS, 793, 02-11-2022, "Performance bonus for 2022"
45, emp108, REIMBURSEMENT, 302, 28-02-2022, "Travel reimbursement"
46, emp109, Ada, Torvalds, Data Scientist, ONBOARD, 29-06-2020, 23-02-2023, "Ada Torvalds is going to join DataOrb on 29-06-2020 as a Data Scientist."
47, emp109, SALARY, 2170, 24-02-2023, "Salary for month 02"
48, emp109, SALARY, 2686, 24-10-2024, "Salary for month 10"
49, emp109, SALARY, 3665, 09-09-2023, "Salary for month 09"
50, emp109, REIMBURSEMENT, 372, 25-02-2022, "Travel reimbursement"
51, emp110, Bill, Jobs, Software Engineer, ONBOARD, 27-07-2021, 12-02-2022, "Bill Jobs is going to join DataOrb on 27-07-2021 as a Software Engineer."
52, emp110, SALARY, 3713, 05-10-2022, "Salary for month 10"
53, emp110, SALARY, 2360, 21-02-2023, "Salary for month 02"
54, emp110, BONUS, 1943, 27-04-2022, "Performance bonus for 2022"
55, emp111, Alan, Hopper, Manager, ONBOARD, 24-08-2020, 12-07-2024, "Alan Hopper is going to join DataOrb on 24-08-2020 as a Manager."
56, emp111, SALARY, 4056, 18-12-2023, "Salary for month 12"
57, emp111, SALARY, 2715, 15-08-2023, "Salary for month 08"
58, emp111, SALARY, 3759, 29-10-2024, "Salary for month 10"
59, emp111, SALARY, 4808, 08-01-2023, "Salary for month 01"
60, emp111, BONUS, 666, 31-10-2023, "Performance bonus for 2023"
61, emp111, REIMBURSEMENT, 786, 17-01-2024, "Travel reimbursement"
62, emp112, Dennis, Turing, Data Scientist, ONBOARD, 17-04-2021, 03-12-2022, "Dennis Turing is going to join DataOrb on 17-04-2021 as a Data Scientist."
63, emp112, SALARY, 2091, 19-06-2023, "Salary for month 06"
64, emp112, SALARY, 3326, 07-05-2024, "Salary for month 05"
65, emp112, SALARY, 4685, 11-01-2024, "Salary for month 01"
66, emp112, SALARY, 2901, 07-05-2024, "Salary for month 05"
67, emp113, Dennis, Lovelace, Architect, ONBOARD, 11-03-2021, 02-01-2022, "Dennis Lovelace is going to join DataOrb on 11-03-2021 as a Architect."
68, emp113, SALARY, 4205, 09-12-2024, "Salary for month 12"
69, emp113, SALARY, 3218, 31-05-2023, "Salary for month 05"
70, emp113, SALARY, 3083, 04-06-2023, "Salary for month 06"
71, emp114, Linus, Jobs, Architect, ONBOARD, 07-07-2020, 31-03-2022, "Linus Jobs is going to join DataOrb on 07-07-2020 as a Architect."
72, emp114, SALARY, 3935, 17-10-2023, "Salary for month 10"
73, emp114, SALARY, 4643, 26-01-2024, "Salary for month 01"
74, emp114, BONUS, 1655, 07-09-2023, "Performance bonus for 2023"
75, emp115, Dennis, Ritchie, Architect, ONBOARD, 23-05-2020, 19-05-2023, "Dennis Ritchie is going to join DataOrb on 23-05-2020 as a Architect."
76, emp115, SALARY, 4010, 11-11-2022, "Salary for month 11"
77, emp115, BONUS, 1181, 07-01-2024, "Performance bonus for 2024"
78, emp115, EXIT, 02-02-2020, 25-10-2022, "Leaving for personal reasons"
79, emp116, Martin, Jobs, Manager, ONBOARD, 27-09-2020, 09-05-2023, "Martin Jobs is going to join DataOrb on 27-09-2020 as a Manager."
80, emp116, SALARY, 4098, 25-09-2022, "Salary for month 09"
81, emp116, SALARY, 3191, 10-10-2022, "Salary for month 10"
82, emp116, SALARY, 3953, 09-06-2023, "Salary for month 06"
83, emp116, SALARY, 4158, 04-04-2022, "Salary for month 04"
84, emp116, BONUS, 577, 16-01-2024, "Performance bonus for 2024"
85, emp117, Dennis, Hopper, Manager, ONBOARD, 21-12-2022, 02-09-2023, "Dennis Hopper is going to join DataOrb on 21-12-2022 as a Manager."
86, emp117, SALARY, 2771, 16-10-2023, "Salary for month 10"
87, emp117, SALARY, 2420, 07-08-2022, "Salary for month 08"
88, emp117, SALARY, 2130, 01-02-2022, "Salary for month 02"
